,protein_A,protein_B,distance
0,MED1,MED4,1.663292217260697
1,MED1,MED6,38.16838966998743
2,MED1,MED7,55.3504439458258
3,MED1,CDK8,79.32360341033429
4,MED1,MED9,1.8461890477413228
5,MED1,MED10,133.25360502815676
6,MED1,MED11,58.97905530779549
7,MED1,MED14,9.390038871059048
8,MED1,MED15,14.439427620234824
9,MED1,MED16,62.486446771740766
10,MED1,MED17,29.6033321097474
11,MED1,MED18,57.96406703294728
12,MED1,MED19,151.71918587640786
13,MED1,MED20,45.557083115581484
14,MED1,MED21,50.09652302306018
15,MED1,MED22,51.29559811523795
16,MED1,MED23,22.298636393286504
17,MED1,MED24,1.6649610098127785
18,MED1,MED25,100.60084169628007
19,MED1,MED27,53.333206213390135
20,MED1,MED28,51.00170877529499
21,MED1,MED29,81.88919757819097
22,MED1,MED30,44.83634367340851
23,MED1,MED31,83.40363216311387
24,MED4,MED6,26.38887352654521
25,MED4,MED7,1.7554364129754079
26,MED4,CDK8,39.19518672183383
27,MED4,MED9,1.7677050093270896
28,MED4,MED10,47.241687734457564
29,MED4,MED11,53.222609988612966
30,MED4,MED14,2.060547014751211
31,MED4,MED15,55.51541142781882
32,MED4,MED16,113.20554019128211
33,MED4,MED17,1.7137937448829872
34,MED4,MED18,57.79853680673936
35,MED4,MED19,70.6050422774464
36,MED4,MED20,51.129178401378596
37,MED4,MED21,2.0580218657730494
38,MED4,MED22,59.92331803930611
39,MED4,MED23,55.245193981015206
40,MED4,MED24,53.56908761590023
41,MED4,MED25,141.17261851010625
42,MED4,MED27,61.42434726555912
43,MED4,MED28,63.351539586658866
44,MED4,MED29,105.05830730123155
45,MED4,MED30,52.3331133509177
46,MED4,MED31,8.39258392868371
47,MED6,MED7,23.10457878862975
48,MED6,CDK8,1.849585358938556
49,MED6,MED9,26.341030617650464
50,MED6,MED10,31.364732997428867
51,MED6,MED11,10.141589273876132
52,MED6,MED14,1.6934016062351762
53,MED6,MED15,87.44146327115068
54,MED6,MED16,134.87264751609197
55,MED6,MED17,1.7794363798028525
56,MED6,MED18,27.65294828766004
57,MED6,MED19,38.17823297377711
58,MED6,MED20,50.53978171698017
59,MED6,MED21,29.12519536415161
60,MED6,MED22,1.742722869534932
61,MED6,MED23,86.47555045213647
62,MED6,MED24,87.89174730883441
63,MED6,MED25,163.63492827938663
64,MED6,MED27,49.35254750263657
65,MED6,MED28,35.03886847488083
66,MED6,MED29,94.27939249910342
67,MED6,MED30,38.77771078854448
68,MED6,MED31,15.262573144787861
69,MED7,CDK8,24.97037372567736
70,MED7,MED9,1.7088864795533045
71,MED7,MED10,1.829289752882269
72,MED7,MED11,34.34742263984298
73,MED7,MED14,1.8970666830662934
74,MED7,MED15,99.12413474527786
75,MED7,MED16,152.02060245571977
76,MED7,MED17,1.8774541272691228
77,MED7,MED18,59.28947628373857
78,MED7,MED19,13.217373755780654
79,MED7,MED20,89.76989609551747
80,MED7,MED21,1.776864091595084
81,MED7,MED22,31.128481331410942
82,MED7,MED23,102.68016302090685
83,MED7,MED24,88.86683765049821
84,MED7,MED25,185.21677773085247
85,MED7,MED27,71.58401417914482
86,MED7,MED28,47.03117137601404
87,MED7,MED29,104.13200006722239
88,MED7,MED30,61.831170650409014
89,MED7,MED31,1.7678407733729784
90,CDK8,MED9,57.64711027449685
91,CDK8,MED10,55.706231689102836
92,CDK8,MED11,2.0451244460912417
93,CDK8,MED14,16.90374615285028
94,CDK8,MED15,85.46000637725224
95,CDK8,MED16,109.09568736205844
96,CDK8,MED17,1.7997894321281145
97,CDK8,MED18,1.6932829839827728
98,CDK8,MED19,62.85740225303621
99,CDK8,MED20,11.740631541786861
100,CDK8,MED21,47.23190993385723
101,CDK8,MED22,1.6820074316126405
102,CDK8,MED23,85.2999587573171
103,CDK8,MED24,104.15422185874175
104,CDK8,MED25,134.04237255435308
105,CDK8,MED27,30.405188373039252
106,CDK8,MED28,37.397724690146624
107,CDK8,MED29,62.13938478131242
108,CDK8,MED30,34.65783735318753
109,CDK8,MED31,10.692955157485695
110,MED9,MED10,70.21497895036359
111,MED9,MED11,53.82810080246195
112,MED9,MED14,5.832270226935648
113,MED9,MED15,64.41498922611102
114,MED9,MED16,121.59489057110909
115,MED9,MED17,18.20378889132698
116,MED9,MED18,63.05741861192862
117,MED9,MED19,96.10890074285518
118,MED9,MED20,63.352490929718016
119,MED9,MED21,1.7501305665578704
120,MED9,MED22,62.41358958019203
121,MED9,MED23,64.62726973963856
122,MED9,MED24,60.74897486377856
123,MED9,MED25,151.5990036147995
124,MED9,MED27,63.96808086069178
125,MED9,MED28,63.5311219639635
126,MED9,MED29,105.30643202577896
127,MED9,MED30,53.36049341038745
128,MED9,MED31,40.400463821594904
129,MED10,MED11,88.55471208806456
130,MED10,MED14,1.8984817618296297
131,MED10,MED15,175.8835732579936
132,MED10,MED16,222.69010623060916
133,MED10,MED17,41.12843426390067
134,MED10,MED18,127.76762827884062
135,MED10,MED19,1.9992913744624494
136,MED10,MED20,155.86407898550584
137,MED10,MED21,2.289577690317603
138,MED10,MED22,70.65409699652558
139,MED10,MED23,180.9240822278781
140,MED10,MED24,168.25199368209582
141,MED10,MED25,256.43956747155846
142,MED10,MED27,146.50716792703352
